Carcase_weight;Breed;Maternal_age;Twin;Sex
24,8;NKS;2+ litter;2+ lambs+;Male
21,5;NP;First litter;One lamb;Female
17,4;NP;First litter;One lamb;Male
18,2;NP;First litter;One lamb;Female
21,1;NKS;2+ litter;One lamb;Female
20,4;NKS;2+ litter;2+ lambs+;Female
20,1;NKS;2+ litter;One lamb;Female
21,2;NKS;2+ litter;One lamb;Male
22,2;NKS;2+ litter;2+ lambs+;Female
22,1;NKS;First litter;2+ lambs+;Male
18,5;NP;First litter;2+ lambs+;Male
19,4;NP;2+ litter;One lamb;Female
16,6;NP;2+ litter;2+ lambs+;Male
22,1;NP;2+ litter;One lamb;Male
17,5;NP;2+ litter;2+ lambs+;Female
19,1;NKS;First litter;One lamb;Male
19,7;NKS;2+ litter;One lamb;Male
19,9;NKS;First litter;2+ lambs+;Female
19,2;NKS;First litter;2+ lambs+;Male
19,4;NKS;First litter;One lamb;Male
18,6;NP;First litter;2+ lambs+;Male
18,5;NKS;First litter;One lamb;Female
17,7;NKS;First litter;One lamb;Female
18,3;NKS;2+ litter;2+ lambs+;Male
16,1;NP;2+ litter;One lamb;Male
14,7;NP;2+ litter;2+ lambs+;Male
18,1;NP;First litter;2+ lambs+;Female
17,4;NP;2+ litter;2+ lambs+;Female
18,1;NP;First litter;One lamb;Male
17,2;NP;2+ litter;One lamb;Female
16,0;NP;First litter;2+ lambs+;Female
20,5;NKS;First litter;2+ lambs+;Female
